user_id,name,surname,identificator_nr,birthdate,sex,phone,PESEL,street_name,house_nr,postal_code,city,e_mail,is_active
1,Hakim,MacInherney,9219403831,1990-05-24,M,707 958 7206,48183887011,Crownhardt,6,05-108,Tassin-la-Demi-Lune,hmacinherney0@unesco.org,t
2,Margret,Youell,1517029571,2006-02-24,F,377 917 9364,98116758552,Melody,12,68-352,Khlevnoye,myouell1@google.cn,t
3,Laraine,Jossel,9193615698,2010-01-02,F,257 975 2689,88786240693,Quincy,479,45-693,Colos,ljossel2@rakuten.co.jp,t
4,Shawn,Cason,1432992464,1982-05-05,M,433 164 9628,36929454540,1st,52698,37-772,Solor,scason3@google.com.br,f
5,Edouard,Bond,1035208623,2002-01-23,M,454 989 7939,70456641718,Lighthouse Bay,5,60-417,Semirara,ebond4@hud.gov,t
6,Fidela,Drewery,7375772556,1991-08-16,F,155 306 3672,65838430966,Lunder,15505,79-937,Luti,fdrewery5@auda.org.au,t
7,Alis,Gammet,9482794497,2009-12-13,F,195 724 4630,53505024228,Moose,9,54-797,Zhonghouhe,agammet6@sbwire.com,t
8,Any,Da Costa,6521473379,2017-02-27,M,176 293 4963,50737734355,Schiller,58,95-129,Baku,adacosta7@ft.com,t
9,Michal,Sand,9365299559,2009-11-21,F,622 316 8020,74025386957,Merry,43640,86-829,Chernogorsk,msand8@wired.com,f
10,Toddy,Aveson,5325812063,2020-02-03,M,713 778 0085,24623123402,Fisk,23,21-022,Houston,taveson9@indiegogo.com,t
11,Conrad,Jaqueminet,8130894935,2012-04-06,M,148 534 7720,26124983858,Harbort,3,27-248,Vetlanda,cjaquemineta@bigcartel.com,f
12,Chiarra,Piggens,8334772446,2018-06-14,F,553 290 1409,63025238632,Farmco,16780,98-323,Tagana-an,cpiggensb@creativecommons.org,t
13,Christoffer,Gittings,0650401685,1982-07-28,M,431 939 0565,61788965679,Bay,0,09-681,Maués,cgittingsc@google.es,t
14,Cassius,Andrejs,1173611964,2010-06-23,M,272 414 6143,21308013511,Shopko,13,19-400,Malibago,candrejsd@intel.com,f
15,Allianora,Glabach,6080692018,2009-05-30,F,759 180 8097,64342782778,American Ash,3,31-025,Nakhon Ratchasima,aglabache@youtu.be,f
16,Brandais,MacGilfoyle,1044003419,2000-05-15,F,940 947 1671,34653851643,Sutteridge,3,68-361,Tartouss,bmacgilfoylef@hexun.com,f
17,Yanaton,Roblou,2799364887,1989-08-03,M,496 243 6366,92519498044,Knutson,339,38-077,Kavarna,yrobloug@topsy.com,f
18,Flint,Dimmne,2113649562,2003-10-31,M,182 170 0807,67562787289,Thierer,59550,36-378,Jiaoqi,fdimmneh@archive.org,t
19,Bernhard,Trousdell,2139945697,1994-03-14,M,619 769 5111,67629997779,Vermont,8478,56-536,Itapema,btrousdelli@kickstarter.com,t
20,Carlynne,Jansik,6908925106,2010-06-19,F,322 535 2115,86175087329,Old Gate,500,68-038,Caotan,cjansikj@domainmarket.com,f
21,Coralyn,Mac Geaney,9542726414,2010-11-09,F,361 709 2160,92946282544,Hansons,07162,82-779,Laâyoune / El Aaiún,cmacgeaneyk@sina.com.cn,f
22,Jacobo,Gamwell,5414490778,2011-06-18,M,514 608 3774,65662535275,Armistice,99127,34-903,Chuangwang,jgamwelll@usda.gov,f
23,Tracy,Schoolfield,8693789809,2018-01-15,M,305 996 4789,72561778718,8th,8,39-105,Zhushan,tschoolfieldm@goo.ne.jp,f
24,Elvira,Maas,5948316090,2002-10-10,F,114 905 9067,04634823878,Scoville,34,75-937,Bolhos,emaasn@wikimedia.org,f
25,Thain,Lathee,1096607390,2011-01-06,M,622 830 5000,91027062834,Eagan,8,70-998,Picton,tlatheeo@archive.org,f
26,Vicki,Schankel,8997380493,2013-02-08,F,423 107 8010,48424708487,Moland,8,50-256,Nybro,vschankelp@auda.org.au,t
27,Carley,Lee,2166846113,1995-09-19,F,864 197 1520,96820876073,Clarendon,16,63-191,Bagratashen,cleeq@gizmodo.com,t
28,Nataniel,Lanchester,3026149504,1981-10-26,M,660 215 3799,30110559453,Gina,5707,07-247,Shuiche,nlanchesterr@engadget.com,t
29,Leonid,Dipple,6526890731,2000-04-05,M,237 609 1091,56709062001,Division,1,00-160,Yingcheng,ldipples@shutterfly.com,t
30,Thurstan,Taffurelli,4608441092,2021-05-07,M,139 531 0586,44785397965,Schurz,6094,21-207,Lat Lum Kaeo,ttaffurellit@mediafire.com,t
31,Svend,Georgiades,1091153890,2013-04-10,M,946 699 3773,81393400985,Pawling,822,71-385,Feng’an,sgeorgiadesu@nba.com,f
32,Algernon,Busfield,7384053048,2020-02-18,M,741 237 9662,01093054650,Stang,86,48-907,Shiye,abusfieldv@ustream.tv,f
33,Aurlie,Prodrick,5105557839,1994-02-27,F,482 574 0331,32536936208,Susan,45,40-488,Anuchino,aprodrickw@taobao.com,t
34,Colene,Ferie,2001252907,1998-10-01,F,604 733 1752,97301226257,Hoepker,3130,59-778,Tielou,cferiex@cisco.com,t
35,Bordy,Czadla,7000416905,2000-05-31,M,127 236 0319,84563925965,Canary,8,19-307,Kuwumkumambal,bczadlay@pinterest.com,f
36,Katerine,Deverell,1149890553,2014-06-09,F,197 545 0000,88501916130,Sachtjen,37,73-644,Bankaw,kdeverellz@ft.com,f
37,Randolf,Searles,9450937575,2013-05-11,M,222 720 6358,60295614771,Clove,621,73-813,Bakov nad Jizerou,rsearles10@boston.com,f
